constructorStandingsId,raceId,racename,raceround,constructorId,name,nationality,wiki,points,position,positionText,wins
8384,313,n°9 - German Grand Prix,9,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,11,11,0
8383,313,n°9 - German Grand Prix,9,25,Tyrrell,#N/A,http://en.wikipedia.org/wiki/Tyrrell_Racing,11,6,6,0
8417,314,n°10 - Hungarian Grand Prix,10,26,Lola,#N/A,http://en.wikipedia.org/wiki/MasterCard_Lola,1,11,11,0
8416,314,n°10 - Hungarian Grand Prix,10,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,18,18,0
8415,314,n°10 - Hungarian Grand Prix,10,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8414,314,n°10 - Hungarian Grand Prix,10,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
8413,314,n°10 - Hungarian Grand Prix,10,27,Ligier,#N/A,http://en.wikipedia.org/wiki/Ligier,0,13,13,0
8412,314,n°10 - Hungarian Grand Prix,10,41,Leyton House,#N/A,http://en.wikipedia.org/wiki/Leyton_House,1,10,10,0
8411,314,n°10 - Hungarian Grand Prix,10,29,Footwork,#N/A,http://en.wikipedia.org/wiki/Footwork_Arrows,0,17,17,0
8410,314,n°10 - Hungarian Grand Prix,10,3,Williams,#N/A,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,81,2,2,4
8409,314,n°10 - Hungarian Grand Prix,10,32,Team Lotus,#N/A,http://en.wikipedia.org/wiki/Team_Lotus,3,9,9,0
8408,314,n°10 - Hungarian Grand Prix,10,34,Brabham,#N/A,http://en.wikipedia.org/wiki/Brabham,0,15,15,0
8407,314,n°10 - Hungarian Grand Prix,10,17,Jordan,#N/A,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,13,5,5,0
8406,314,n°10 - Hungarian Grand Prix,10,18,Minardi,#N/A,http://en.wikipedia.org/wiki/Minardi,3,8,8,0
8405,314,n°10 - Hungarian Grand Prix,10,39,AGS,#N/A,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,0,16,16,0
8404,314,n°10 - Hungarian Grand Prix,10,40,Lambo,#N/A,http://en.wikipedia.org/wiki/Modena_(racing_team),0,14,14,0
8403,314,n°10 - Hungarian Grand Prix,10,33,Larrousse,#N/A,http://en.wikipedia.org/wiki/Larrousse,1,12,12,0
8402,314,n°10 - Hungarian Grand Prix,10,25,Tyrrell,#N/A,http://en.wikipedia.org/wiki/Tyrrell_Racing,11,6,6,0
8435,315,n°11 - Belgian Grand Prix,11,36,Fondmetal,#N/A,http://en.wikipedia.org/wiki/Fondmetal,0,17,17,0
8434,315,n°11 - Belgian Grand Prix,11,42,Coloni,#N/A,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,0,19,19,0
8433,315,n°11 - Belgian Grand Prix,11,35,Dallara,#N/A,http://en.wikipedia.org/wiki/Dallara,5,7,7,0
